,title,pages,publisher,category 1,category 2,category 3,is bestseller
1731,The Revenge of Magic Complete Collection (Boxed Set): The Revenge of Magic; The Last Dragon; The Future King; The Timeless One; The Chosen One,2144 pages,"Aladdin; Boxed Set edition (September 27, 2022)Ê","in Children's Dragon, Unicorn & Mythical Stories",in Children's Fantasy & Magic Books,in Children's Action & Adventure Books (Books),0
1732,All of Me,320 pages,"Square Fish; Reprint edition (June 15, 2021)Ê",in Children's Books on Marriage & Divorce,in Children's Self-Esteem Books,in Children's Friendship Books,0
1733,The Owls Have Come to Take Us Away,240 pages,"Clarion Books; Reprint edition (February 11, 2020)Ê",in Children's Books on Bullying,in Children's Spine-Chilling Horror,in Children's Action & Adventure Books (Books),0
1734,The Tragical Tale of Birdie Bloom,384 pages,"HarperCollins; Reprint edition (February 25, 2020)Ê",in Children's Books on Girls' & Women's Issues,in Children's Friendship Books,in Children's Fantasy & Magic Books,0
1735,Rise of the Dragon Moon,336 pages,"Square Fish; Reprint edition (May 18, 2021)Ê","in Children's Dragon, Unicorn & Mythical Stories",in Children's Fantasy & Magic Books,in Children's Action & Adventure Books (Books),0
1736,My Fate According to the Butterfly,256 pages,"Scholastic Inc. (February 2, 2021)Ê",in Children's Books on Drugs & Substance Abuse,in Children's Fiction on Social Situations,in Children's Friendship Books,0
1737,Planet Earth Is Blue,240 pages,"Yearling (May 5, 2020)Ê",in Children's Books on Orphans & Foster Homes,in Children's Books on Disabilities,in Children's Books on Emotions & Feelings (Books),0
1738,"The Library of Ever (The Library of Ever, 1)",208 pages,"Imprint (April 30, 2019)Ê",in Children,s Books about Libraries & Reading,in Children's Fantasy & Magic Books,0
1739,The Door at the End of the World,320 pages,"HarperCollins; Reprint edition (April 14, 2020)Ê","in Children's Mystery, Detective, & Spy",in Children's Fantasy & Magic Books,in Children's Action & Adventure Books (Books),0
1740,The Whispers,272 pages,"Puffin Books; Reprint edition (January 14, 2020)Ê",in Children's Books on LGBTQ+ Families,"in Children's Mystery, Detective, & Spy",in Children's Fantasy & Magic Books,0
1741,Caterpillar Summer,320 pages,"Bloomsbury Children's Books; Reprint edition (October 6, 2020)Ê",in Children's Books on Disabilities,in Children's Siblings Books (Books),in Children's Friendship Books,0
1742,Forever Neverland,272 pages,"Random House Books for Young Readers (June 25, 2019)Ê",in Children's Books on Disabilities,in Children's Folk Tales & Myths (Books),in Children's Fantasy & Magic Books,0
1743,Words on Fire,336 pages,"Scholastic Inc. (January 4, 2022)Ê",in Children's Europe Books,in Children's European Historical Fiction (Books),in Children's Action & Adventure Books (Books),0
1744,The Star Shepherd,320 pages,"Sourcebooks Young Readers (September 10, 2019)Ê",in Children's Dog Books (Books),in Children's Folk Tales & Myths (Books),in Children's Friendship Books,0
1745,"Silver Batal and the Water Dragon Races (Silver Batal, 1)",352 pages,"Square Fish; Reprint edition (August 18, 2020)Ê","in Children's Dragon, Unicorn & Mythical Stories",in Children's Fantasy & Magic Books,in Children's Action & Adventure Books (Books),0
1746,August Isle,368 pages,"HarperCollins (April 16, 2019)Ê",in Children's Books on Death & Dying,"in Children's Mystery, Detective, & Spy",in Children's Friendship Books,0
1747,Silver Meadows Summer,240 pages,"Yearling (May 19, 2020)Ê",in Children's Hispanic & Latino Books,in Children's Fiction on Social Situations,in Children's New Experiences Books,0
1748,The Haunting of Room 909 (Junior Paranormal Investigators #1),146 pages,"lulu.com (April 24, 2019)Ê",in Children's Books (Books),,,0
1749,Rumor of a Werewolf (Caden Chronicles Book 4),198 pages,"Lighthouse Publishing of the Carolinas (June 17, 2019)Ê",in Teen & Young Adult Spy Story eBooks,in Teen & Young Adult Detective Story eBooks,in Teen & Young Adult Romantic Mystery eBooks,0
1750,The True History of Lyndie B. Hawkins,302 pages,"Kathy Dawson Books (March 26, 2019)Ê",in Children's Books on Country Life,in Children's Multigenerational Families,in Children's Country Life Books,0
1751,Dragonfell,272 pages,"HarperCollins; Reprint edition (March 24, 2020)Ê","in Children's Dragon, Unicorn & Mythical Stories",in Children's Fantasy & Magic Books,in Children's Action & Adventure Books (Books),0
1752,My Jasper June,304 pages,"Walden Pond Press (January 12, 2021)Ê",in Children's Homelessness & Poverty Books (Books),in Children's Friendship Books,in Children's Family Life Books (Books),0
1753,Bone Hollow,240 pages,"Scholastic Press (February 26, 2019)Ê",in Children's Books on Death & Dying,in Children's Spine-Chilling Horror,in Children's Fantasy & Magic Books,0
1754,The Key of Lost Things (Hotel Between),321 pages,"Simon & Schuster Books for Young Readers; Reprint edition (September 3, 2019)Ê",in Children's Siblings Books (Kindle Store),in Children's Books on Friendship,in Children's Siblings Books (Books),0
1755,The Moon Within (Scholastic Gold),256 pages,"Scholastic Inc. (May 5, 2020)Ê",in Children's Hispanic & Latino Books,"in Stories in Verse',",in Children's Friendship Books,0
1756,Lalani of the Distant Sea,400 pages,"Greenwillow Books (September 15, 2020)Ê",in Children's Books on Emotions & Feelings (Books),in Children's Friendship Books,in Children's Fantasy & Magic Books,0
1757,The Midwinter Witch: A Graphic Novel (The Witch Boy Trilogy #3),208 pages,"Graphix; Illustrated edition (November 5, 2019)Ê",in Children's Fantasy Comics & Graphic Novels,in Children's Friendship Books,in Children's Fantasy & Magic Books,0
1758,The Absence of Sparrows,385 pages,"Little, Brown Books for Young Readers (May 7, 2019)Ê",in Children's Fantasy & Supernatural Mystery Books,in Children's Siblings Books (Kindle Store),"in Children's Paranormal, Occult & Supernatural Books",0
1759,The Good Thieves,272 pages,"Simon & Schuster Books for Young Readers; Reprint edition (August 25, 2020)Ê",in Children's Historical Fiction (Books),in Children's Friendship Books,in Children's Action & Adventure Books (Books),0
1760,"Pay Attention, Carter Jones",240 pages,"Clarion Books (November 3, 2020)Ê",in Children's Books on Death & Dying,in Children's School Issues,in Children's Friendship Books,0
1761,Strange Birds: A Field Guide to Ruffling Feathers,384 pages,"Puffin Books; Reprint edition (September 1, 2020)Ê",in Children's Hispanic & Latino Books,in Children's Environment Books (Books),in Children's Friendship Books,0
1762,Genesis Begins Again,384 pages,"Atheneum/Caitlyn Dlouhy Books; Reprint edition (August 18, 2020)Ê",in Children's Books on Bullying,in Children's Books on Prejudice & Racism,in Children's Black & African American Story Books,0
1763,I Can Make This Promise,288 pages,"Heartdrum; Reprint edition (December 8, 2020)Ê",in Children's Native American Books,in Children's Books on Prejudice & Racism,in Children's Books on Emotions & Feelings (Books),0
1764,The Girls of Firefly Cabin,288 pages,"Albert Whitman & Company; Reprint edition (April 1, 2020)Ê",in Children's Books on Girls' & Women's Issues,in Children's Friendship Books,,0
1765,Hurricane Season,202 pages,"Algonquin Young Readers (May 7, 2019)Ê",in Children's Parent Books,in Children's Fiction on Social Situations,in Children's Parents Books,0
1766,Malamander (The Legends of Eerie-on-Sea),320 pages,"Walker Books US; Reprint edition (April 14, 2020)Ê",in Children's Spine-Chilling Horror,"in Children's Mystery, Detective, & Spy",in Children's Fantasy & Magic Books,0
1767,"Comet Rising (Shadow Weaver, 2)",320 pages,"Sourcebooks Young Readers; Reprint edition (December 3, 2019)Ê",in Children's Friendship Books,in Children's Fantasy & Magic Books,in Children's Action & Adventure Books (Books),0
1768,Dear Sweet Pea,288 pages,"Balzer + Bray (February 2, 2021)Ê",in Children's Books on Marriage & Divorce,in Children's Self-Esteem Books,in Children's Friendship Books,0
1769,Guest: A Changeling Tale,240 pages,"Clarion Books (April 14, 2020)Ê",in Children's Siblings Books (Books),"in Children's Mystery, Detective, & Spy",in Children's Fantasy & Magic Books,0
1770,Saving Fable (Talespinners),384 pages,"Yearling (September 22, 2020)Ê",in Children's New Experiences Books,in Children's School Issues,in Children's Fantasy & Magic Books,0
1771,The Astonishing Maybe,240 pages,"Feiwel & Friends (March 26, 2019)Ê",in Children's Parent Books,in Children's New Family Experiences Books,in Children's Fiction on Social Situations,0
1772,All the Ways Home,224 pages,"Square Fish; Reprint edition (January 1, 2023)Ê",in Children's Stepfamilies Books,in Children's Books on Death & Dying,in Children's Travel Books (Books),0
1773,The Bee Maker (1), 198 pages ,"BookBaby (April 8, 2019) ",in Science Fiction (Books),,,0
1774,The Wicked Tree, 255 pages ,"Month9Books, LLC (October 8, 2019) ",in Children's Scary Stories,in Children's Mystery & Detectives Books,in Children's Spine-Chilling Horror,0
1775,Charlie Changes Into a Chicken Book 3, 256 pages ,"Puffin (February 6, 2020) ",in Children's Bird Books (Books),"in Humorous Fiction',",in Children's Fantasy & Magic Books,0
1776,All the Greys on Greene Street, 320 pages ,"Puffin Books (June 2, 2020) ",in Children's Art Fiction,in Children's Parents Books,"in Children's Mystery, Detective, & Spy",0
1777,Revenge of the Red Club, 256 pages ,"Aladdin; Reprint edition (October 20, 2020) ",in Children's Books on Girls' & Women's Issues,in Children's School Issues,in Children's Friendship Books,0
1778,Superman Smashes the Klan, 239 pages ,"Dc Comics; Illustrated edition (May 12, 2020) ",in DC Comics & Graphic Novels,in Science Fiction Manga (Books),in Superhero Comics & Graphic Novels,0
1779,"Super Sons: The PolarShield Project (Super Sons, 1)", 160 pages ,"DC Zoom; Illustrated edition (April 2, 2019) ",in Children's Science Fiction Comics & Graphic Novels,in Children's Superhero Comics,in Children's Action & Adventure Comics & Graphic Novels,0
1780,Stand on the Sky, 336 pages ,"Clarion Books; Reprint edition (October 20, 2020) ",in Children's Bird Books (Books),in Children's Books on Girls' & Women's Issues,in Children's Self-Esteem Books,0
1781,Birdie, 216 pages ,"Eerdmans Books for Young Readers (February 14, 2023) ",in Children's Fiction on Social Situations,"in Stories in Verse',",in Children's Multigenerational Family Life,0
1782,The Princess Who Flew with Dragons (The Dragon Heart Series), 240 pages ,"Bloomsbury Children's Books (December 1, 2020) ",in Children's Royalty Books (Books),"in Children's Dragon, Unicorn & Mythical Stories",in Children's Fantasy & Magic Books,0
1783,Frostheart, 432 pages ,"Puffin (October 31, 2019) ",in Children's Spine-Chilling Horror,in Children's Fantasy & Magic Books,in Children's Action & Adventure Books (Books),0
1784,Because of the Rabbit (Scholastic Gold), 208 pages ,"Scholastic Inc.; Reprint edition (March 2, 2021) ",in Children's Rabbit Books (Books),in Children's School Issues,in Children's Friendship Books,0
1785,Batman Tales Once upon a Crime, 192 pages ,"Dc Comics; Illustrated edition (February 11, 2020) ",in Children's Superhero Comics,"in DC Comics & Graphic Novels', 'in Science Fiction Manga (Books)']",,0
1786,The Best at It, 336 pages ,"Balzer + Bray; Reprint edition (October 6, 2020) ",in Children's Books on LGBTQ+ Families,in Children's Asian & Asian American Books,in Children's Fiction on Social Situations,0
1787,The Last Last-Day-of-Summer (A Legendary Alston Boys Adventure), 320 pages ,"Versify; Reprint edition (September 8, 2020) ","in Children's Mystery, Detective, & Spy",in Children's Friendship Books,in Children's Action & Adventure Books (Books),0
1788,"Beverly, Right Here", 256 pages ,"Candlewick; Reprint edition (March 16, 2021) ",in Children's Books on Runaways,in Children's Parents Books,in Children's Historical Fiction (Books),1
1789,Wildfire (A Graphic Novel), 288 pages ,"Little, Brown Ink (September 5, 2023) ",in Disaster Books for Children,in Children's Action & Adventure Comics & Graphic Novels,in Children's Environment Books (Books),0
1790,Indian No More, 211 pages ,"Tu Books; Bilingual edition (December 10, 2019) ",in Children's Native American Books,in Children's Books on Prejudice & Racism,in Children's Books on Emotions & Feelings (Books),0
1791,The Okay Witch (1), 272 pages ,"Aladdin; Illustrated edition (September 3, 2019) ",in Children's Fantasy Comics & Graphic Novels,in Children's Friendship Books,in Children's Fantasy & Magic Books,0
1792,The Memory Thief (1) (Thirteen Witches), 352 pages ,"Aladdin; Reprint edition (March 29, 2022) ",in Children's Friendship Books,in Children's Fantasy & Magic Books,in Children's Action & Adventure Books (Books),0
1793,The Size of the Truth (Sam Abernathy Books), 288 pages ,"Simon & Schuster Books for Young Readers; Reprint edition (March 24, 2020) ",in Children's Books on Boys' & Men's Issues,in Children's Books on Emotions & Feelings (Books),in Children's Friendship Books,0
1794,Our Castle by the Sea, 336 pages ,"Chicken House (April 30, 2019) ",in Children's Military Fiction (Books),in Children's Europe Books,"in Children's Mystery, Detective, & Spy",0
1795,"Arlo Finch in the Lake of the Moon (Arlo Finch, 2)", 400 pages ,"Square Fish; Reprint edition (February 4, 2020) ",in Children's Fantasy & Magic Books,in Children's Action & Adventure Books (Books),,0
1796,"The Doughnut King (The Doughnut Fix, 2)", 336 pages ,"Sourcebooks Young Readers; Reprint edition (March 3, 2020) ",in Children's Performing Arts Fiction,in Children's Siblings Books (Books),,0
1797,The Carnival of Wishes & Dreams, 304 pages ,"Aladdin (February 12, 2019) ",in Children's New Experiences Books,in Children's Books on Girls' & Women's Issues,in Children's Friendship Books,0
1798,The Story That Cannot Be Told, 400 pages ,"Atheneum Books for Young Readers; Reprint edition (October 6, 2020) ",in Children's Multicultural Literature,in Children's European Historical Fiction (Books),in Children's Multigenerational Family Life,0
1799,How High the Moon, 320 pages ,"Little, Brown Books for Young Readers; Reprint edition (March 3, 2020) ",in Children's 1900s American Historical Fiction,in Children's Books on Prejudice & Racism,in Children's Black & African American Story Books,0
1800,The Miraculous, 336 pages ,"Square Fish; Reprint edition (July 28, 2020) ",in Children's Books on Death & Dying,in Children's Friendship Books,in Children's Family Life Books (Books),0
1801,Parker Bell and the Science of Friendship, 160 pages ,"Clarion Books; Illustrated edition (May 21, 2019) ",in Children's Books on Girls' & Women's Issues,in Children's School Issues,in Children's Friendship Books,0
1802,The Griffins of Castle Cary, 320 pages ,"Simon & Schuster Books for Young Readers; Reprint edition (March 3, 2020) ",in Children's Siblings Books (Books),in Children's Spine-Chilling Horror,"in Children's Mystery, Detective, & Spy",0
1803,"Redwood and Ponytail: (Novels for Preteen Girls, Children's Fiction on Social Situations, Fiction Books for Young Adults, LGBTQ Books, Stories in Verse)", 426 pages ,"Chronicle Books LLC; Illustrated edition (October 1, 2019) ",in Children's eBooks on Girls' & Women's Issues,in Children's Fiction on Social Situations,in Stories in Verse'],0
1804,This Was Our Pact, 336 pages ,"First Second (June 11, 2019) ",in Children's Fantasy Comics & Graphic Novels,in Children's Action & Adventure Comics & Graphic Novels,in Children's Friendship Books,0
1805,"Spirits, Spells, and Snark (Magic, Madness, and Mischief)", 320 pages ,"Feiwel & Friends (January 22, 2019) ",in Children's Books on Diseases & Physical Illness,in Children's Fiction on Social Situations,in Children's Fantasy & Magic Books,0
1806,Blastaway, 258 pages ,"Disney Hyperion (July 9, 2019) ",in Children's Action & Adventure Sci-Fi Books,in Children's Humorous Action & Adventure,in Children's Humorous Literature,0
1807,Each Tiny Spark, 352 pages ,"Puffin Books (June 30, 2020) ",in Children's Hispanic & Latino Books,in Children's Books on Disabilities,in Children's Parents Books,0
1808,Count Me In, 192 pages ,"Nancy Paulsen Books; Reprint edition (August 25, 2020) ",in Children's Books on Violence,in Children's Asian & Asian American Books,in Children's Friendship Books,0
1809,"The Mystwick School of Musicraft (The Mystwick School, 1)", 384 pages ,"Clarion Books (May 10, 2022) ",in Children's Performing Arts Fiction,in Children's Friendship Books,in Children's Fantasy & Magic Books,0
1810,Dear Justice League, 176 pages ,"DC Zoom; Illustrated edition (August 6, 2019) ",in Children's Superhero Comics,in Children's Action & Adventure Comics & Graphic Novels,in Science Fiction Manga (Books)'],0
1811,"The Startup Squad: Party Problems (The Startup Squad, 3)", 176 pages ,"Imprint (May 25, 2021) ",in Children's Jobs & Careers Reference Books,in Children's Books on Girls' & Women's Issues,in Children's Friendship Books,0
1812,The Missing Piece of Charlie O'Reilly, 416 pages ,"Walden Pond Press; Reprint edition (June 2, 2020) ",in Children's Siblings Books (Books),in Children's Friendship Books,in Children's Fantasy & Magic Books,0
1813,"Bernice Buttman, Model Citizen", 240 pages ,"Yearling (January 26, 2021) ",in Children's Books on Bullying,in Children's Humor,in Children's Family Life Books (Books),0
1814,Stu Truly: First Kiss, 336 pages ,"Yellow Jacket (May 7, 2019) ",in Children's Fiction on Social Situations,in Children's Books on Boys' & Men's Issues,in Children's Humor,0
1815,The Ghost Collector, 200 pages ,"Annick Press (September 10, 2019) ",in Children's Native American Books,in Children's Spine-Chilling Horror,in Children's Fantasy & Magic Books,0
1816,The Class, 320 pages ,"Atheneum/Caitlyn Dlouhy Books; Reprint edition (October 8, 2019) ",in Children's Social Skills,in Children's School Issues,in Children's Books on Emotions & Feelings (Books),0
1817,Amelia Erroway: Castaway Commander: A Graphic Novel, 288 pages ,"Graphix (August 3, 2021) ",in Children's Fantasy Comics & Graphic Novels,in Children's Action & Adventure Comics & Graphic Novels,in Children's Fantasy & Magic Books,0
1818,"Epoca: The Tree of Ecrof (Epoca, 1)", 368 pages ,"Granity Studios; 1st edition (November 12, 2019) ",in Children's Sports & Outdoors Books (Books),in Children's Fantasy & Magic Books,in Children's Growing Up & Facts of Life Books (Books),1
1819,Give and Take, 320 pages ,"Square Fish; Reprint edition (October 13, 2020) ",in Children's New Baby Books,in Children's Fiction on Social Situations,in Anxiety Disorders (Books)'],0
1820,My Life as an Ice Cream Sandwich, 256 pages ,"Puffin Books (July 7, 2020) ",in Children's Books on Prejudice & Racism,in Children's Science Fiction Books (Books),in Children's Family Life Books (Books),1
1821,Urban Legendz Vol. 1, 109 pages ,"Humanoids (June 11, 2019) ",in Graphic Novels (Kindle Store),in Graphic Novels (Books),,0
1822,Charlie HernÃ¡ndez & the Castle of Bones (2),608 pages,"Aladdin; Reprint edition (September 15, 2020)Ê",in Children's Latin American Folk Tale Books,in Children's Hispanic & Latino Books,in Children's Fantasy & Magic Books,0
1823,The Other Half of Happy,352 pages,"Chronicle Books (September 14, 2021)Ê",in Children's Books on Prejudice & Racism,in Children's Books on Disabilities,,0
1824,Outlaws (Royal Academy Rebels Book 2),236 pages,"Sourcebooks Young Readers (October 1, 2019)Ê",in Children's Royalty Books (Books),in Children's Issues in School Books,in Children's Fantasy & Magic Adventure,0
1825,"The Secret of Zoone (Zoone, 1)",368 pages,"HarperCollins; Reprint edition (January 28, 2020)Ê",in Children's Spine-Chilling Horror,in Children's Fantasy & Magic Books,in Children's Action & Adventure Books (Books),0
1826,Honeybees and Frenemies,256 pages,"Simon & Schuster Books for Young Readers (June 4, 2019)Ê",in Children's Books on Marriage & Divorce,in Children's Bug & Spider Books (Books),in Children's Friendship Books,0
1827,The Green Children of Woolpit,272 pages,"Atheneum Books for Young Readers; Reprint edition (September 8, 2020)Ê",in Children's Medieval Fiction Books (Books),in Children's Folk Tales & Myths (Books),in Children's Friendship Books,0
1828,Games of Deception: The True Story of the First U.S. Olympic Basketball Team at the 1936 Olympics in Hitler's Germany,256 pages,"Viking Books for Young Readers (March 2, 2021)Ê",in Teen & Young Adult Basketball,in Teen & Young Adult Olympics & Paralympics,in Teen & Young Adult Holocaust History,0
1829,The Long Ride,208 pages,"Yearling (September 14, 2021)Ê",in Children's 1900s American Historical Fiction,in Children's Books on Girls' & Women's Issues,in Children's School Issues,0
1830,Emily Out of Focus,240 pages,"Sky Pony; Not for Online edition (May 7, 2019)Ê",in Children's New Experiences Books,in Children's Siblings Books (Books),in Children's Friendship Books,0
1831,Orange for the Sunsets,336 pages,"Katherine Tegen Books (October 6, 2020)Ê",in Children's African History Fiction,in Children's Africa Books,in Children's Friendship Books,0
1832,Out of Place,320 pages,"Greenwillow Books (October 6, 2020)Ê",in Children's Books on Bullying,in Children's Fiction on Social Situations,in Children's Friendship Books,0
1833,"The Unsung Hero of Birdsong, USA",208 pages,"Nancy Paulsen Books; Reprint edition (January 7, 2020)Ê",in Children's Military Fiction (Books),in Children's Books on Prejudice & Racism,in Children's Black & African American Story Books,0
1834,The Twelve,400 pages,"HarperCollins (June 30, 2020)Ê",in Children's Asian Literature,in Children's Fantasy & Magic Books,in Children's Action & Adventure Books (Books),0
1835,The Light in the Lake,336 pages,"Little, Brown Books for Young Readers (August 4, 2020)Ê",in Children's Country Life Books,in Children's Environment Books (Books),in Children's Fantasy & Magic Books,0
1836,The Dark Lord Clementine,336 pages,"Algonquin Young Readers (April 20, 2021)Ê",in Children's Parents Books,in Children's Fantasy & Magic Books,in Children's Action & Adventure Books (Books),0
1837,Sweeping Up the Heart,192 pages,"Greenwillow Books; Reprint edition (February 18, 2020)Ê",in Children's Parents Books,in Children's Self-Esteem Books,in Children's Friendship Books,0
1838,Shadow School #1: Archimancy,320 pages,"Katherine Tegen Books (July 14, 2020)Ê",in Children's Spine-Chilling Horror,in Children's School Issues,in Children's Fantasy & Magic Books,0
1839,The Bootlace Magician,416 pages,"Puffin Books (September 29, 2020)Ê",in Children's Performing Arts Books (Books),in Children's Multigenerational Family Life,in Children's Fantasy & Magic Books,0
1840,Focused,304 pages,"Scholastic Inc. (January 5, 2021)Ê",in Children's Books on Disabilities,in Children's Self-Esteem Books,in Children's Friendship Books,0
1841,The Book of Unwyse Magic,320 pages,"Henry Holt and Co. (BYR) (March 26, 2019)Ê",in Children's Pirate Action & Adventure,in Children's Fantasy & Supernatural Mystery Books,in Children's Mystery & Detective Adventure,0
1842,The Trouble with Shooting Stars,336 pages,"Simon & Schuster Books for Young Readers (August 20, 2019)Ê",in Children's Books on Diseases & Physical Illness,in Children's Multicultural Literature,in Children's Self-Esteem Books,0
1843,Emily Windsnap and the Pirate Prince,288 pages,"Candlewick (March 10, 2020)Ê",in Children's Mermaid Folk Tales & Myths,in Children's Fantasy & Magic Books,in Children's Action & Adventure Books (Books),0
1844,Rose Coffin,325 pages,"Scholastic Inc. (October 15, 2019)Ê","in Children's eBooks on Death, Grief & Bereavement",in Children's Books on Bullies,"in Children's Paranormal, Occult & Supernatural Books",0
1845,The Serendipity of Flightless Things,320 pages,"Yellow Jacket (August 6, 2019)Ê",in Children's European Historical Fiction (Books),in Children's 1900s American Historical Fiction,in Children's Folk Tales & Myths (Books),0
1846,Searching for Lottie,175 pages,"Holiday House (March 5, 2019)Ê",in Children's European Biographies (Kindle Store),in Children's Holocaust Fiction Books (Kindle Store),in Children's European Biographies (Books),0
1847,Time Sight,416 pages,"Henry Holt and Co. (BYR); Illustrated edition (May 14, 2019)Ê",in Children's Medieval Fiction Books (Books),in Children's Time Travel Fiction,in Children's Action & Adventure Books (Books),0
1848,Thisby Thestoop and the Wretched Scrattle,384 pages,"HarperCollins; Illustrated edition (April 23, 2019)Ê",in Children's Spine-Chilling Horror,in Children's Fantasy & Magic Books,in Children's Action & Adventure Books (Books),0
1849,The Time of Green Magic,272 pages,"Margaret K. McElderry Books; Reprint edition (July 6, 2021)Ê",in Children's Stepfamilies Books,"in Children's Books about Libraries & Reading',",in Children's Fantasy & Magic Books,0
1850,White Bird: A Wonder Story (A Graphic Novel),224 pages,"Knopf Books for Young Readers (March 1, 2022)Ê",in Children's Holocaust Fiction Books (Books),in Children's Multigenerational Family Life,in Graphic Novels (Books)'],0
1851,The Queen's Secret (Rose Legacy),256 pages,"Bloomsbury Children's Books (May 14, 2019)Ê",in Children's Horse Books (Books),in Children's Fantasy & Magic Books,in Children's Action & Adventure Books (Books),0
1852,Explorer Academy: The Falcon's Feather (Book 2),216 pages,"NatGeo Under the Stars; Reprint edition (January 14, 2020)Ê","in Children's Mystery, Detective, & Spy",in Children's School Issues,in Children's Action & Adventure Books (Books),0
1853,Middler,288 pages,"Square Fish (April 12, 2022)Ê",in Children's Dystopian Fiction Books,in Children's Friendship Books,in Children's Action & Adventure Books (Books),0
1854,Mostly the Honest Truth,288 pages,"HarperCollins (April 5, 2022)Ê",in Children's Books on Orphans & Foster Homes,in Children's Fiction on Social Situations,in Children's Books on Emotions & Feelings (Books),0
1855,The Root of Magic,224 pages,"Delacorte Press (June 11, 2019)Ê",in Children's Books on Death & Dying,in Children's Siblings Books (Books),in Children's Action & Adventure Books (Books),0
1856,Meena Meets Her Match (The Meena Zee Books),208 pages,"Simon & Schuster Books for Young Readers; Reprint edition (January 28, 2020)Ê",in Epilepsy,in Children's Books on Disabilities,in Children's Friendship Books,0
1857,"Swap'd (Click'd, 2)",336 pages,"Little, Brown Books for Young Readers; Reprint edition (February 4, 2020)Ê",in Children's Books on Girls' & Women's Issues,in Children's School Issues,in Children's Friendship Books,0
1858,Murder Most Unladylike 8,352 pages,"Puffin (August 8, 2019)Ê",in Children's School Issues,"in Children's Mystery, Detective, & Spy",in Children's Action & Adventure Books (Books),0
1859,The Crossover Graphic Novel (The Crossover Series),224 pages,"Clarion Books; Reprint edition (September 24, 2019)Ê",in Children's Basketball Books (Books),in Children's Parents Books,in Children's Siblings Books (Books),0
1860,"Professor Renoir's Collection of Oddities, Curiosities, and Delights",416 pages,"HarperCollins (July 23, 2019)Ê",in Children's 1800s American Historical Fiction,in Children's Performing Arts Books (Books),in Children's Books on Girls' & Women's Issues,0
1861,The Multiplying Mysteries of Mount Ten,266 pages,"Bloomsbury Children's Books; 1st edition (April 9, 2019)Ê",in Children's Math Fiction,in Children's Math Books (Kindle Store),in Children's Technology Fiction,0
1862,The Echo Park Castaways,208 pages,"HarperCollins (July 2, 2019)Ê",in Children's Homelessness & Poverty Books (Books),in Children's Books on Orphans & Foster Homes,in Children's Books on Disabilities,0
1863,Storm Blown,352 pages,"Delacorte Press (July 16, 2019)Ê",in Disaster Books for Children,in Children's Fiction on Social Situations,in Children's Action & Adventure Books (Books),0
1864,"Watch Hollow (Watch Hollow, 1)",272 pages,"HarperCollins; Reprint edition (February 11, 2020)Ê",in Children's Spine-Chilling Horror,"in Children's Mystery, Detective, & Spy",in Children's Fantasy & Magic Books,0
1865,Hearts of Ice,272 pages,"Scholastic Press; 1st edition (September 3, 2019)Ê",in Children's Siblings Books (Books),in Children's Folk Tales & Myths (Books),in Children's Fantasy & Magic Books,0
1866,Pie in the Sky,384 pages,"Henry Holt and Co. BYR Paperbacks; Illustrated edition (May 14, 2019)Ê",in Children's Fiction on Social Situations,in Children's Siblings Books (Books),in Children's Humorous Comics & Graphic Novels,0
1867,Nikki on the Line,336 pages,"Little, Brown Books for Young Readers; Reprint edition (March 3, 2020)Ê",in Children's Basketball Books (Books),in Children's Self-Esteem Books,in Children's Friendship Books,0
1868,Boy-Crazy Stacey: A Graphic Novel (The Baby-Sitters Club #7) (7) (The Baby-Sitters Club Graphix),176 pages,"Graphix; Illustrated edition (September 3, 2019)Ê",in Children's Babysitting Books,in Children's Books on Girls' & Women's Issues,in Children's Friendship Books,0
1869,On Thin Ice,240 pages,"Scholastic Press (July 30, 2019)Ê",in Children's Books on Diseases & Physical Illness,in Children's Parents Books,in Children's Friendship Books,0
1870,The Lost Rainforest #2: Gogi's Gambit,368 pages,"Katherine Tegen Books; Illustrated edition (December 10, 2019)Ê",in Children's Environment Books (Books),in Children's Fantasy & Magic Books,in Children's Action & Adventure Books (Books),0
1871,"The Becket List: A Blackberry Farm Story (Blackberry Farm, 1)",208 pages,"Algonquin Young Readers; Reprint edition (March 3, 2020)Ê",in Children's Farm Animal Books (Books),in Children's Environment Books (Books),in Children's Multigenerational Family Life,0
1872,The Memory Keeper,352 pages,"Aladdin; Illustrated edition (October 15, 2019)Ê",in Children's Books on Diseases & Physical Illness,in Children's Multigenerational Family Life,in Children's New Experiences Books,0
1873,High-Rise Mystery (The High-rise Mysteries),352 pages,"Knights Of (April 4, 2019)Ê",in Children's School Issues,"in Children's Mystery, Detective, & Spy",in Children's Action & Adventure Books (Books),0
1874,We're Not from Here,272 pages,"Yearling; Reprint edition (March 10, 2020)Ê",in Children's Fiction on Social Situations,in Children's Science Fiction Books (Books),in Children's Humor,0
1875,House Without Walls,336 pages,"Yellow Jacket (June 18, 2019)Ê",in Children's Fiction on Social Situations,"in Stories in Verse',",in Children's Multigenerational Family Life,0
1876,The Dragon in the Library,224 pages,"NOSY (May 22, 2019)Ê",in Children's Fantasy & Magic Books,in Children's Literature (Books),,0
1877,The Star Outside My Window,320 pages,"Yearling (March 15, 2022)Ê",in Children's Books on Abuse,in Children's Books on Orphans & Foster Homes,in Children's Parents Books,0
