title,author.x,Plot.Driven,Character.Driven,Mix.of.Plot.and.Character,Strong.Character.Development,Lovable.Characters,Diverse.Characters,Flaws.Of.Characters.Important,pages,genre.tags,mood.tags,genre.tags.list,mood.tags.list
Warriors: The Broken Code: Lost Stars,Erin Hunter,0.4,0.1,0.5,0.3,0.81,0.5,0.6,304,"['fantasy', 'middle grade', 'fiction']","['adventurous', 'mysterious']",,
We Are Family,"LeBron James, LeBron James, Andrea Williams, Andrea Williams",NA,NA,NA,NA,NA,NA,NA,256,"['middle grade', 'fiction', 'sports']",['emotional'],,
Welcome to Smellville (Garbage Pail Kids #1),"R.L. Stine, Joe Simko, Jeff Zapata",1,NA,NA,NA,0.5,NA,NA,208,"['middle grade', 'fiction']","['lighthearted', 'adventurous', 'dark']",,
When the Sea Turned to Silver,Grace Lin,0.21,0.13,0.65,0.75,0.9500000000000001,0.8,0.4,384,"['fantasy', 'middle grade', 'fiction']","['adventurous', 'mysterious', 'emotional']",,
When You Trap a Tiger,Tae Keller,0.04,0.48,0.46,0.9500000000000001,0.92,0.9500000000000001,0.51,304,"['fantasy', 'middle grade', 'fiction']","['reflective', 'emotional']",,
Wild Rescuers: Escape to the Mesa,StacyPlays,0.25,0.25,0.5,0.5,1,0.5,0.25,224,"['fantasy', 'childrens', 'fiction']","['lighthearted', 'adventurous']",,
Wild Rescuers: Guardians of the Taiga,StacyPlays,0.16,0.16,0.66,NA,0.8300000000000001,0.4,0.33,224,"['fantasy', 'middle grade', 'fiction']",['adventurous'],,
Willa of Dark Hollow,Robert Beatty,0.18,0.18,0.63,0.63,0.63,0.45,0.54,384,"['fantasy', 'historical', 'middle grade', 'fiction']","['mysterious', 'reflective', 'adventurous']",,
"Willa of the Wood (Willa of the Wood, Book 1)",Robert Beatty,0.05,0.26,0.64,0.85,0.84,0.71,0.51,384,"['fantasy', 'middle grade', 'fiction', 'young adult']",['adventurous'],,
Willodeen,Katherine Applegate          with Charles Santoso (Illustrator)        ,0.28,0.15,0.56,0.62,0.93,0.36,0.29,256,"['childrens', 'fantasy', 'fiction']","['adventurous', 'mysterious', 'emotional']",,
Wings of Fire Legends: Dragonslayer,Tui T. Sutherland,NA,NA,NA,NA,NA,NA,NA,NA,[],[],,
Wishtree,Katherine Applegate,0.23,0.45,0.27,0.55,0.9500000000000001,0.92,0.11,224,"['fantasy', 'childrens', 'fiction']","['emotional', 'hopeful']",,
Witchlings,Claribel A. Ortega,0.23,0.08,0.67,0.97,0.9400000000000001,0.9400000000000001,0.52,334,"['fantasy', 'middle grade', 'fiction']","['adventurous', 'funny', 'lighthearted']",,
Wolf Hollow,Lauren Wolk,0.15,0.26,0.58,0.76,0.62,0.21,0.43,304,"['young adult', 'fiction']",['reflective'],,
"Wolfpack: How to Come Together, Unleash Our Power, and Change the Game",Abby Wambach,NA,NA,NA,NA,NA,NA,NA,112,"['nonfiction', 'self help', 'feminism']","['informative', 'inspiring']",,
Women in Science: 50 Fearless Pioneers Who Changed the World,Rachel Ignotofsky,NA,NA,NA,NA,NA,NA,NA,128,"['nonfiction', 'feminism', 'history', 'science']","['inspiring', 'informative', 'lighthearted']",,
Wonder,R.J. Palacio,0.03,0.79,0.17,0.91,0.92,0.6900000000000001,0.67,320,"['contemporary', 'middle grade', 'fiction', 'young adult']","['inspiring', 'hopeful', 'emotional']",,
Word of Mouse,James Patterson          with Joe Sutphin (Illustrator)        ,NA,0.2,0.8,0.75,1,0.8,1,304,"['fantasy', 'middle grade', 'fiction']",['adventurous'],,
Wow in the World: Wow in the Wild: The Amazing World of Animals,"Guy Raz, Guy Raz, Mindy Thomas, Mindy Thomas, Jack Teagle, Jack Teagle",NA,NA,NA,NA,NA,NA,NA,240,['nonfiction'],"['adventurous', 'funny', 'informative']",,
Wrath of the Dragon King,Brandon Mull,0.6,0.05,0.35000000000000003,0.6,0.96,0.47000000000000003,0.3,416,"['fantasy', 'childrens', 'middle grade', 'fiction']","['mysterious', 'adventurous']",,
Wundersmith: The Calling of Morrigan Crow,Jessica Townsend,0.21,0.07,0.7000000000000001,0.87,0.96,0.72,0.59,473,"['fantasy', 'middle grade', 'fiction']","['mysterious', 'lighthearted', 'adventurous']",,
You Go First,Erin Entrada Kelly,NA,0.6,0.33,0.92,0.93,0.66,0.61,304,"['childrens', 'middle grade', 'fiction']","['emotional', 'hopeful', 'lighthearted']",,
Zachary Ying and the Dragon Emperor,Xiran Jay Zhao,0.27,0.06,0.65,0.9,0.79,0.93,0.7000000000000001,352,"['fantasy', 'lgbtqia+', 'middle grade', 'fiction']","['adventurous', 'funny']",,
A Map to the Door of No Return,NA,NA,NA,NA,NA,NA,NA,NA,240,"['nonfiction', 'poetry', 'memoir', 'history']","['informative', 'challenging', 'reflective']",,
Dark River,NA,NA,NA,NA,NA,NA,NA,NA,322,"['fantasy', 'middle grade', 'fiction']",['adventurous'],,
Dog Diaries: Curse of the Mystery Mutt: A Middle School Story Dog Diaries #04 [With Battery],NA,NA,NA,NA,NA,NA,NA,NA,NA,"['childrens', 'fiction']","['hopeful', 'lighthearted']",,
The Unwanteds Quests Collection Books 1-3: Dragon Captives; Dragon Bones; Dragon Ghosts,NA,NA,NA,NA,NA,NA,NA,NA,142,"['fantasy', 'middle grade', 'fiction']",['mysterious'],,
Carry On,NA,NA,NA,NA,NA,NA,NA,NA,521,"['young adult', 'fiction', 'fantasy', 'lgbtqia+', 'romance']","['lighthearted', 'adventurous', 'funny']",,
The Strangers,NA,NA,NA,NA,NA,NA,NA,NA,416,"['fantasy', 'mystery', 'middle grade', 'fiction']","['mysterious', 'adventurous']",,
Lost Stars,NA,NA,NA,NA,NA,NA,NA,NA,320,"['fantasy', 'middle grade', 'fiction']","['mysterious', 'adventurous']",,
"From the Ashes: My Story of Being Métis, Homeless, and Finding My Way",NA,NA,NA,NA,NA,NA,NA,NA,368,"['nonfiction', 'memoir']","['emotional', 'sad', 'reflective']",,
The Strangers,NA,NA,NA,NA,NA,NA,NA,NA,416,"['fantasy', 'mystery', 'middle grade', 'fiction']","['mysterious', 'adventurous']",,
I Am (Not) the Walrus,NA,NA,NA,NA,NA,NA,NA,NA,288,"['music', 'young adult', 'fiction']",['lighthearted'],,
Once Upon a Time in the North,NA,NA,NA,NA,NA,NA,NA,NA,104,"['short stories', 'fantasy', 'young adult', 'fiction']",['adventurous'],,
The Rise of Wolf 8: Witnessing the Triumph of Yellowstone's Underdog,NA,NA,NA,NA,NA,NA,NA,NA,304,"['nonfiction', 'nature', 'science']","['informative', 'adventurous']",,
Carry On,NA,NA,NA,NA,NA,NA,NA,NA,521,"['young adult', 'fiction', 'fantasy', 'lgbtqia+', 'romance']","['lighthearted', 'adventurous', 'funny']",,
Flung Out of Space: The Indecent Adventures of Patricia Highsmith,NA,NA,NA,NA,NA,NA,NA,NA,208,"['fiction', 'biography', 'graphic novel', 'lgbtqia+', 'historical']","['emotional', 'reflective', 'challenging']",,
What If?: Serious Scientific Answers to Absurd Hypothetical Questions,NA,NA,NA,NA,NA,NA,NA,NA,320,"['nonfiction', 'science']","['informative', 'lighthearted', 'funny']",,
The Island of Missing Trees,NA,NA,NA,NA,NA,NA,NA,NA,354,"['literary', 'fiction']","['informative', 'emotional', 'reflective']",,
"Dilla Time: The Life and Afterlife of J Dilla, the Hip-Hop Producer Who Reinvented Rhythm",NA,NA,NA,NA,NA,NA,NA,NA,480,"['nonfiction', 'biography', 'music']","['informative', 'reflective', 'challenging']",,
The Sister Switch,NA,NA,NA,NA,NA,NA,NA,NA,160,"['nonfiction', 'childrens']",[],,
