,title,categories,pages,ISBN-13,publisher
269,"Rad Women Worldwide: Artists and Athletes, Pirates and Punks, and Other Revolutionaries Who Shaped History ","Teen & Young Adult Women Biographies', 'Teen & Young Adult Social Science Books', Women's Biographies",112 pages,978-0399578861,"Ten Speed Press (September 27, 2016)"
270,The Littlest Bigfoot ,"Children's Books on Friendship, Children's Humorous Literature, Children's Fantasy Books",305 pages,978-0399578861,"Aladdin; Reprint edition (September 13, 2016)"
271,The Answer (Steven Universe) ,"Children's Science Fiction Books (Books), Children's Books on Emotions & Feelings (Books), Children's Fantasy & Magic Books",32 pages,978-0399541704,"Cartoon Network Books (September 6, 2016)"
272,Raymie Nightingale ,"Children's Marriage & Divorce Books, Children's Books on Emotions & Feelings (Kindle Store), Children's Books on Friendship",273 pages,978-0399541704,"Candlewick Press (April 12, 2016)"
273,Furthermore ,"Children's Friendship Books, Children's Fantasy & Magic Books, Children's Action & Adventure Books (Books)",416 pages,978-1101994764,"Dutton Books for Young Readers; First Edition (August 30, 2016)"
274,"For Magnus Chase: Hotel Valhalla Guide to the Norse Worlds-An Official Rick Riordan Companion Book: Your Introduction to Deities, Mythical Beings, & ... (Magnus Chase and the Gods of Asgard) ","Children's Norse Literature, Children's Short Story Collections, Children's Fantasy & Magic Books",176 pages,978-1484785546,"Disney Hyperion; Illustrated edition (August 16, 2016)"
275,"The Isle of the Lost: A Descendants Novel (Descendants, The Book 1)","Children's Folk Tales & Myths (Kindle Store), Children's Fantasy & Magic Adventure, Children's Popular Culture Literature",321 pages,978-1484785546,"Disney Hyperion (May 5, 2015)"
276,The Candymakers and the Great Chocolate Chase ,"Children's Friendship Books, Children's Fantasy & Magic Books, Children's Action & Adventure Books (Books)",544 pages,978-0316089197,"Little, Brown Books for Young Readers (August 2, 2016)"
277,Serafina and the Twisted Staff-The Serafina Series Book 2,"Children's Mystery, Detective, & Spy, Children's Fantasy & Magic Books, Children's Action & Adventure Books (Books)",384 pages,978-1484775035,"Disney Hyperion (July 12, 2016)"
278,Echo ,"Teen & Young Adult Music Fiction', 'Teen & Young Adult Military Historical Fiction', 'Teen & Young Adult Fiction on Prejudice & Racism'",592 pages,978-0439874021,"Scholastic Press; First Edition (February 24, 2015)"
279,"The Day the President Was Shot: The Secret Service, the FBI, a Would-Be Killer, and the Attempted Assassination of Ronald Reagan ","Teen & Young Adult 20th Century US History eBooks', 'Teen & Young Adult President & First Family Biographies', Children's US Presidents & First Ladies",256 pages,978-0439874021,"Henry Holt and Co. (BYR) (June 21, 2016)"
280,Demigods & Magicians: Percy and Annabeth Meet the Kanes ,"Children's Short Story Collections, Children's Fantasy & Magic Books, Children's Action & Adventure Books (Books)",224 pages,978-1484732786,"Disney Hyperion; Illustrated edition (April 5, 2016)"
281,Jacky Ha-Ha ,"Children's Parent Books, Children's Performing Arts Fiction, Children's Books on Friendship",385 pages,978-1484732786,"jimmy patterson (March 21, 2016)"
282,Booked (The Crossover Series) ,"Children's Black & African American Story Books, 'Stories Verse', Children's Family Life Books (Books)",320 pages,978-0544570986,"Clarion Books; Illustrated edition (April 5, 2016)"
283,Quiet Power: The Secret Strengths of Introverts ,"Children's Self-Esteem Books, Children's Books on Emotions & Feelings (Books), Children's Reference & Nonfiction (Books)",288 pages,978-0803740600,"Rocky Pond Books; Illustrated edition (May 3, 2016)"
284,The Gutsy Girl: Escapades for Your Life of Epic Adventure ,"Parenting Girls', Children's Books on Girls' & Women's Issues, Children's Self-Esteem Books",160 pages,978-1632861238,"Bloomsbury USA; Illustrated edition (March 1, 2016)"
285,Spaced Out (Moon Base Alpha) ,"Children's Science Fiction Books (Books), Children's Mystery, Detective, & Spy, Children's Action & Adventure Books (Books)",352 pages,978-1481423366,"Simon & Schuster Books for Young Readers (April 5, 2016)"
286,Mr. Lemoncello's Library Olympics ,"Children’s Books about Libraries & Reading', Children's Mystery, Detective, & Spy, Children's Action & Adventure Books (Books)",288 pages,978-0553510409,"Random House Books for Young Readers; First Edition (January 5, 2016)"
287,The Terrible Two Get Worse ,"Children's Chapter Books (Books), Children's School Issues, Children's Friendship Books",224 pages,978-1419716805,"Harry N. Abrams; Illustrated edition (January 12, 2016)"
288,Crenshaw ,"Children's Homelessness & Poverty Books (Books), Children's Fantasy & Magic Books, Children's Friendship Books",256 pages,978-1250043238,"Feiwel & Friends; First Edition (September 22, 2015)"
289,I Am Malala: How One Girl Stood Up for Education and Changed the World (Young Readers Edition) ,"Children's Women Biographies (Books), Children's Books on Girls' & Women's Issues, Children's School Issues",240 pages,978-0316327930,"Little, Brown Books for Young Readers; Young Readers ed. edition (August 19, 2014)"
290,Demon Dentist ,"Children's Spine-Chilling Horror, Children's Friendship Books, Children's Action & Adventure Books (Books)",448 pages,978-0062417046,"HarperCollins; Illustrated edition (March 1, 2016)"
291,The Terrible Two ,"Children's Books on Boys' & Men's Issues, Children's Chapter Books (Books), Children's Humor",224 pages,978-1419714917,"Amulet Books; First Edition (January 13, 2015)"
292,"House of Robots: Robots Go Wild! (House of Robots, 2)","Children's Robot Fiction Books, Children's Siblings Books (Books), Children's School Issues",336 pages,978-0316284790,"jimmy patterson; First Edition (November 23, 2015)"
293,The War that Saved My Life ,"Children's European Historical Fiction (Books), Children's Military Fiction (Books), Children's Books on Disabilities",320 pages,978-0803740815,"Dial Books; 1st edition (January 8, 2015)"
294,Before the Awakening (Star Wars) ,"Children's Science Fiction Books (Books), Children's Fantasy & Magic Books, Children's Action & Adventure Books (Books)",224 pages,978-1484728222,"Disney Lucasfilm Press; First Edition (December 18, 2015)"
295,The Zodiac Legacy: The Dragon's Return ,"Children's Dragon, Unicorn & Mythical Stories, Children's Fantasy & Magic Books, Children's Action & Adventure Books (Books)",432 pages,978-1484713525,"Disney Press; First Edition (January 26, 2016)"
296,"Rise of the Wolf (Mark of the Thief, Book 2) (2)","Children's Ancient Civilization Fiction (Books), Children's Fantasy & Magic Books, Children's Action & Adventure Books (Books)",352 pages,978-0545562041,"Scholastic Press (January 26, 2016)"
297,Percy Jackson's Greek Heroes ,"Children's Folk Tale & Myth Anthologies, Children's Greek & Roman Books, Children's Classics",416 pages,978-1423183655,"Disney-Hyperion; First Edition/First Printing (August 18, 2015)"
298,The Marvels ,"Children's European Historical Fiction (Books), Children's Performing Arts Fiction, Children's Mystery, Detective, & Spy",672 pages,978-0545448680,"Scholastic Press; First Edition (September 15, 2015)"
299,"The Story of Diva and Flea (Diva and Flea, 1)","Children's Cat Books (Books), Children's Dog Books (Books), Children's Friendship Books",80 pages,978-1484722848,"Disney Hyperion; First Edition (October 13, 2015)"
300,Circus Mirandus ,"Children's Performing Arts Books (Books), Children's Multigenerational Family Life, Children's Fantasy & Magic Books",304 pages,978-0525428435,"Dial Books; First Edition (June 2, 2015)"
301,The Princess in Black and the Perfect Princess Party ,"Children's Royalty Books (Books), Children's Superhero Fiction, Children's Action & Adventure Books (Books)",96 pages,978-0763665111,"Candlewick; Illustrated edition (October 13, 2015)"
302,Fast Break ,"Children's Books on Adoption, Children's Basketball Books (Books), Children's Books on Orphans & Foster Homes",272 pages,978-0399256066,"Viking Books for Young Readers (November 3, 2015)"
303,The Thing About Jellyfish (National Book Award Finalist) ,"Children's Books on Death & Dying, Children's Books on Emotions & Feelings (Books), Children's Friendship Books",352 pages,978-0316380867,"Little, Brown Books for Young Readers (September 22, 2015)"
304,Serafina and the Black Cloak ,"Children's Fantasy & Supernatural Mystery Books, Children's Mystery & Detective Adventure, Children's 1800s American Historical Fiction",279 pages,978-0316380867,"Disney Hyperion (July 14, 2015)"
305,"It's Your World: Get Informed, Get Inspired & Get Going! ","Children's General Social Science Books, Children's Environment & Ecology Books (Books), Children's School Issues",416 pages,978-0399176128,"Philomel Books; Illustrated edition (September 15, 2015)"
306,The Boys in the Boat (Young Readers Adaptation): The True Story of an American Team's Epic Journey to Win Gold at the 1936 Olympics,"Children's Olympics Books, Children's Water Sports Books (Books), Children's American History of 1900s",240 pages,978-0451475923,"Viking Books for Young Readers; Illustrated edition (September 8, 2015)"
307,The Copper Gauntlet (Magisterium #2),"Children's Books on Friendship, Children's Fantasy & Magic Adventure, Children's eBooks (Kindle Store)",275 pages,978-0451475923,"Scholastic Press; Illustrated edition (September 1, 2015)"
308,"The Keeper (Vega Jane, Book 2): Extra Content E-book Edition","Children's Dystopian Sci-Fi Books, 'Teen & Young Adult Dystopian eBooks', Children's Fantasy & Magic Adventure",481 pages,978-0451475923,"Scholastic Press (September 8, 2015)"
309,Hitler's Last Days: The Death of the Nazi Regime and the World's Most Notorious Dictator ,"Teen & Young Adult Military History eBooks', Children's Military & War History Books, Children's Historical Biographies (Kindle Store)",304 pages,978-0451475923,"Henry Holt and Co. (BYR) (June 9, 2015)"
310,Fuzzy Mud ,"Children's Books on Bullying, Children's Environment Books (Books), Children's Mystery, Detective, & Spy",192 pages,978-0385743785,"Delacorte Press; First Edition (August 4, 2015)"
311,"Francine Poulet Meets the Ghost Raccoon: Tales from Deckawoo Drive, Volume Two ","Children's City Life Books, Children's Self-Esteem Books, Children's Animals Books",112 pages,978-0763668860,"Candlewick; Illustrated edition (August 25, 2015)"
312,JURASSIC WORLD SPECI ,"Children's Dinosaur Books (Books), Children's Action & Adventure Books (Books)",128 pages,978-0553536904,"Random House Books for Young Readers; Special Edition (June 16, 2015)"
0,Magnolia Wu Unfolds It All ,"Children's Mystery, Detective, & Spy, Children's Dog Books (Books), Children's Friendship Books",160 pages,978-0593624524,"Philomel Books (April 23, 2024)"
1,Wonka ,"Children's Multigenerational Family Life, Children's Fantasy & Magic Books, Children's Action & Adventure Books (Books)",304 pages,978-0593528686,"Viking Books for Young Readers; Media tie-in edition (December 19, 2023)"
2,Worst Broommate Ever! (1) (Middle School and Other Disasters),"Children's New Experiences Books, Children's Fantasy & Magic Books, Children's Friendship Books",352 pages,978-1665925280,"Simon Spotlight (May 30, 2023)"
3,The Human Kaboom: 6 Explosively Different Stories with the Same Exact Name!,"Children's Short Story Collections, 'Short Stories Anthologies', Children's Action & Adventure Books (Books)",416 pages,978-0593462393,"G.P. Putnam's Sons Books for Young Readers (February 21, 2023)"
4,"Amari and the Great Game (Supernatural Investigations, 2)","Children's Black & African American Story Books, Children's Fantasy & Magic Books, Children's Action & Adventure Books (Books)",432 pages,978-0062975195,"Balzer + Bray (August 30, 2022)"
5,Black Boy Joy: 17 Stories Celebrating Black Boyhood,"Children's Books on Boys' & Men's Issues, Children's Black & African American Story Books, 'Short Stories Anthologies'",320 pages,978-0593379936,"Delacorte Press (August 3, 2021)"
6,Witchlings ,"Children's Hispanic & Latino Books, Children's Fantasy & Magic Books, Children's Action & Adventure Books (Books)",352 pages,978-1338745528,"Scholastic Press (April 5, 2022)"
7,The One and Only Bob ,"Children's Zoo Books (Books), Children's Dog Books (Books), Children's Friendship Books",352 pages,978-0062991317,"HarperCollins; Illustrated edition (May 5, 2020)"
8,The Islanders (1),"Children's Turtle Books, Children's Environment Books (Books), Children's Friendship Books",304 pages,978-1534427273,"Aladdin (June 15, 2021)"
9,"A Tale of Witchcraft... (A Tale of Magic..., 2)","Children's Books on Girls' & Women's Issues, Children's Fantasy & Magic Books, Children's Action & Adventure Books (Books)",448 pages,978-0316523561,"Little, Brown Books for Young Readers; Illustrated edition (September 29, 2020)"
10,This Is Your Time ,"Children's Social Activists Biographies (Books), Children's Multicultural Biographies, Children's Black & African American Story Books",64 pages,978-0593378526,"Delacorte Press; First Edition (November 10, 2020)"
11,Clean Getaway ,"Children's Books on Prejudice & Racism, Children's Black & African American Story Books, Children's Multigenerational Family Life",240 pages,978-1984892973,"Crown Books for Young Readers; Illustrated edition (January 7, 2020)"
12,"A Tale of Magic... (A Tale of Magic..., 1)","Children's Books on Girls' & Women's Issues, Children's Fantasy & Magic Books, Children's Action & Adventure Books (Books)",496 pages,978-0316523479,"Little, Brown Books for Young Readers; Illustrated edition (October 1, 2019)"
13,Project Middle School (Alyssa Milano's Hope) ,"Children's School Issues, Children's Friendship Books, Children's Science & Nature Books",208 pages,978-1338329407,"Scholastic Inc.; Illustrated edition (October 15, 2019)"
14,Katt vs. Dogg ,"Children's Dog Books (Books), Children's Friendship Books, Children's Action & Adventure Books (Books)",320 pages,978-0316411561,"jimmy patterson (April 1, 2019)"
15,Ada Twist and the Perilous Pants: The Questioneers Book #2,"Children's Chapter Books (Books), Children's Science & Nature Books, Children's Friendship Books",144 pages,978-1419734229,"Amulet Books; Illustrated edition (April 16, 2019)"
16,Wrath of the Dragon King (Dragonwatch) ,"Children's Dragon, Unicorn & Mythical Stories, Children's Fantasy & Magic Books, Children's Action & Adventure Books (Books)",416 pages,978-1629724867,"Shadow Mountain (October 23, 2018)"
17,Bravelands #2: Code of Honor,"Children's Fantasy & Magic Books, Children's Action & Adventure Books (Books), Children's Animals Books",384 pages,978-0062642066,"HarperCollins (February 6, 2018)"
18,Gravity Falls:: Journal 3,"Children's Humor, Children's Action & Adventure Books (Books)",288 pages,978-1484746691,"Disney Press (July 26, 2016)"
19,"I'm Just No Good at Rhyming: And Other Nonsense for Mischievous Kids and Immature Grown-Ups (Mischievous Nonsense, 1)","Children's Humorous Poetry, 'Stories Verse', Children's Humor",192 pages,978-0316266574,"Little, Brown Books for Young Readers; First Edition (September 26, 2017)"
20,Dog Man Unleashed: From the Creator of Captain Underpants (Dog Man #2),"Children's Superhero Comics, Children's Action & Adventure Comics & Graphic Novels, Children's Humorous Comics & Graphic Novels",224 pages,978-0545935203,"Graphix (December 27, 2016)"
21,Girls Who Code: Learn to Code and Change the World ,"Children's Programming Books, Children's Science Biographies (Books), Children's Books on Girls' & Women's Issues",176 pages,978-0425287538,"Viking Books for Young Readers; Illustrated edition (August 22, 2017)"
22,Wolf Hollow ,"Children's Country Life Books, Children's 1900s American Historical Fiction, Children's Books on Bullying",304 pages,978-1101994825,"Dutton Books for Young Readers; First Edition (May 3, 2016)"
23,The Land of Stories: A Treasury of Classic Fairy Tales ,"Children's Folk Tale & Myth Anthologies, Children's Fantasy & Magic Books",336 pages,978-0316355919,"Little, Brown Books for Young Readers; Illustrated edition (October 18, 2016)"
24,Fish in a Tree ,"Children's Books on Disabilities, Children's School Issues, Children's Friendship Books",288 pages,978-0399162596,"Nancy Paulsen Books; 1st edition (February 5, 2015)"
25,Moo: A Novel ,"Children's Farm Animal Books (Books), 'Stories Verse', Children's New Experiences Books",288 pages,978-0062415240,"HarperCollins; First Edition (August 30, 2016)"
26,"Grover Cleveland, Again!: A Treasury of American Presidents ","Children's US Presidents & First Ladies Biographies, Children's Books on the U.S., Children's American History",96 pages,978-0385392099,"Knopf Books for Young Readers; Illustrated edition (July 12, 2016)"
27,Brown Girl Dreaming ,"Children's Books on Prejudice & Racism, Children's Multicultural Biographies, Children's Black & African American Story Books",352 pages,978-0399252518,"Nancy Paulsen Books; Illustrated edition (August 28, 2014)"
28,Red: The True Story of Red Riding Hood ,"Children's Fox & Wolf Books (Books), Children's Folk Tales & Myths (Books), Children's Humor",256 pages,978-0385755832,"Knopf Books for Young Readers; First Edition (April 12, 2016)"
29,"Bad Luck (The Bad Books, 2)","Children's Mystery, Detective, & Spy, Children's Fantasy & Magic Books, Children's Action & Adventure Books (Books)",288 pages,978-0316320429,"Little, Brown Books for Young Readers; Illustrated edition (February 9, 2016)"
0,The Eyes and the Impossible: (Newbery Medal Winner) ,"Children's Dog Books (Books), Children's Action & Adventure Books (Books), Children's Friendship Books",256 pages,978-1524764203,"Knopf Books for Young Readers (May 9, 2023)"
1,"Greenwild: The City Beyond the Sea (Greenwild, 2)","Children's School Issues, Children's Fantasy & Magic Books, Children's Friendship Books",400 pages,978-0374391393,"Farrar, Straus and Giroux (BYR) (June 4, 2024)"
2,Welcome to Smellville (Garbage Pail Kids Book 1),"Children's Humor, Children's Action & Adventure Books (Books), Children's Activity Books (Books)",208 pages,978-1419743610,"Harry N. Abrams (September 29, 2020)"
3,"The Inquisitor's Tale: Or, The Three Magical Children and Their Holy Dog ","Children's Medieval Fiction Books (Books), Children's Fantasy & Magic Books, Children's Action & Adventure Books (Books)",384 pages,978-0525426165,"Dutton Books for Young Readers; Illustrated edition (September 27, 2016)"
0,Auggie & Me: Three Wonder Stories ,"Children's Books on Disabilities, Children's School Issues, Children's Friendship Books",320 pages,978-1101934852,"Knopf Books for Young Readers; Illustrated edition (August 18, 2015)"
